city,country,continent,latitude,longitude,population,date,pm25,pm10,no2,o3,so2,aqi
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-01-01,65.19,117.94,59.25,47.91,13.04,160.3
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-01-01,33.82,60.47,44.86,46.51,6.24,96.7
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-01-01,52.8,96.1,51.1,48.14,10.56,143.5
New York,US,North America,40.7128,-74.006,8.3,2023-01-01,23.64,45.86,32.62,44.17,5.25,74.9
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-01-01,68.38,118.82,53.04,71.86,11.08,163.6
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-01-01,74.45,134.43,56.08,55.89,18.79,170.0
Chicago,US,North America,41.8781,-87.6298,2.7,2023-01-01,49.31,86.96,46.75,53.09,11.16,134.8
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-01-01,23.12,45.07,34.96,45.13,4.62,73.8
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-01-01,22.21,43.93,24.28,40.19,3.59,71.8
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-01-01,37.7,67.17,32.87,52.38,6.69,105.7
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-01-01,35.17,63.81,32.04,48.86,6.52,99.6
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-01-01,29.95,53.42,28.57,56.84,5.48,88.4
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-01-01,44.67,82.31,48.69,48.26,9.27,123.2
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-01-01,42.61,74.11,39.15,45.17,9.03,118.0
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-01-01,49.29,105.82,22.52,40.56,9.01,134.7
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-01-01,21.24,50.99,17.0,37.8,1.7,69.8
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-01-01,5.0,18.84,16.76,36.72,5.35,20.9
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-01-01,25.76,49.26,26.05,41.35,6.0,79.4
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-01-01,11.54,23.68,20.64,49.64,2.31,48.1
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-01-01,17.03,31.5,20.42,47.05,3.07,60.8
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-01-02,231.33,392.5,115.67,71.5,37.17,285.0
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-01-02,100.43,179.89,59.96,36.98,23.99,197.3
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-01-02,19.75,39.38,30.03,36.18,2.65,66.6
Seoul,KR,Asia,37.5665,126.978,9.8,2023-01-02,38.26,76.89,38.63,37.88,8.95,107.1
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-01-02,160.16,276.0,93.73,60.8,28.13,210.3
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-01-02,138.33,240.0,91.27,52.2,32.87,237.1
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-01-02,94.7,171.3,66.2,56.96,17.64,191.3
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-01-02,116.61,200.92,76.51,59.58,22.02,214.3
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-01-02,37.88,73.07,48.19,41.71,8.88,106.2
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-01-02,19.15,40.42,34.27,42.16,4.61,65.3
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-01-02,78.48,172.97,42.49,29.49,7.9,174.2
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-01-02,115.13,253.94,77.71,76.99,26.93,212.7
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-01-02,21.02,129.04,23.51,44.81,4.2,69.3
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-01-02,125.41,204.36,72.45,57.27,26.38,223.5
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-01-02,125.49,227.24,49.75,30.85,17.3,223.6
London,GB,Europe,51.5074,-0.1278,9.0,2023-01-02,29.21,52.92,45.81,45.18,6.62,86.8
Paris,FR,Europe,48.8566,2.3522,2.2,2023-01-02,27.84,52.16,42.52,42.55,5.57,83.9
Berlin,DE,Europe,52.52,13.405,3.6,2023-01-02,28.39,52.98,38.89,41.5,4.9,85.1
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-01-02,16.98,37.18,37.09,47.74,2.36,60.7
Rome,IT,Europe,41.9028,12.4964,2.8,2023-01-02,23.26,46.58,41.53,46.84,4.39,74.1
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-01-02,42.25,83.53,47.78,41.03,8.45,117.1
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-01-02,13.15,29.48,34.53,40.32,2.11,52.5
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-01-02,50.98,93.36,50.19,47.59,10.2,138.9
New York,US,North America,40.7128,-74.006,8.3,2023-01-02,35.91,64.26,38.75,47.85,7.7,101.3
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-01-02,49.15,89.98,43.43,66.1,7.23,134.4
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-01-02,70.2,128.04,53.95,54.61,17.94,165.5
Chicago,US,North America,41.8781,-87.6298,2.7,2023-01-02,51.98,90.97,48.09,53.89,11.7,141.5
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-01-02,23.03,44.94,34.91,45.11,4.61,73.6
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-01-02,33.36,60.67,29.86,43.53,5.82,95.7
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-01-02,59.96,100.57,44.01,59.06,11.14,154.8
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-01-02,35.27,63.96,32.09,48.89,6.54,99.8
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-01-02,13.99,29.49,20.6,52.06,2.29,54.3
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-01-02,50.53,91.09,51.61,50.02,10.45,137.8
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-01-02,15.89,34.04,25.8,37.16,3.69,58.3
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-01-02,108.89,195.2,52.32,58.44,20.93,206.2
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-01-02,39.12,77.8,25.93,43.16,5.27,109.3
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-01-02,7.87,28.81,20.09,38.71,6.67,32.8
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-01-02,49.32,84.6,37.83,48.42,10.71,134.8
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-01-02,5.0,13.42,17.22,47.58,1.0,20.9
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-01-02,7.48,17.17,15.64,44.18,1.16,31.2
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-01-03,127.68,237.01,63.84,40.4,16.44,225.9
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-01-03,60.61,120.16,40.05,25.03,16.02,155.5
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-01-03,34.38,61.31,37.34,40.56,5.58,97.9
Seoul,KR,Asia,37.5665,126.978,9.8,2023-01-03,24.37,56.05,31.68,33.71,6.17,76.5
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-01-03,115.51,209.01,71.4,47.4,19.2,213.1
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-01-03,102.89,186.83,73.54,41.57,25.78,199.9
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-01-03,56.09,113.38,46.89,45.38,9.92,150.7
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-01-03,71.5,133.25,53.95,46.05,13.0,166.9
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-01-03,79.18,135.02,68.84,54.1,17.14,175.0
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-01-03,18.18,38.97,33.79,41.87,4.42,63.2
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-01-03,91.63,192.69,49.06,33.44,10.53,188.0
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-01-03,60.3,171.7,50.3,60.54,15.96,155.1
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-01-03,80.27,217.91,53.14,62.58,16.05,176.1
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-01-03,84.12,142.43,51.81,44.89,18.12,180.2
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-01-03,169.93,293.89,71.96,44.18,26.19,220.5
London,GB,Europe,51.5074,-0.1278,9.0,2023-01-03,23.57,44.46,42.99,43.49,5.49,74.8
Paris,FR,Europe,48.8566,2.3522,2.2,2023-01-03,41.72,72.99,49.46,46.72,8.34,115.8
Berlin,DE,Europe,52.52,13.405,3.6,2023-01-03,28.04,52.46,38.72,41.39,4.83,84.3
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-01-03,21.22,43.53,39.21,49.01,3.2,69.7
Rome,IT,Europe,41.9028,12.4964,2.8,2023-01-03,59.32,100.68,59.56,57.66,11.6,154.1
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-01-03,8.45,32.83,30.88,30.89,1.69,35.2
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-01-03,25.9,48.6,40.9,44.14,4.66,79.7
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-01-03,40.24,77.26,44.82,44.37,8.05,112.1
New York,US,North America,40.7128,-74.006,8.3,2023-01-03,28.41,53.02,35.01,45.6,6.2,85.1
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-01-03,39.2,75.05,38.45,63.11,5.24,109.5
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-01-03,70.89,129.08,54.29,54.82,18.08,166.3
Chicago,US,North America,41.8781,-87.6298,2.7,2023-01-03,40.02,73.03,42.11,50.31,9.3,111.5
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-01-03,7.06,20.99,26.93,40.32,1.41,29.4
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-01-03,44.63,77.57,35.49,46.91,8.08,123.1
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-01-03,58.4,98.22,43.22,58.59,10.83,153.1
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-01-03,70.16,116.29,49.53,59.36,13.52,165.5
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-01-03,21.84,41.26,24.52,54.41,3.86,71.1
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-01-03,5.0,10.0,13.64,27.24,1.0,20.9
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-01-03,30.52,55.98,33.11,41.55,6.61,89.6
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-01-03,105.24,189.73,50.49,57.35,20.2,202.3
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-01-03,57.13,104.82,34.94,48.56,8.88,151.8
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-01-03,33.38,67.06,32.84,46.36,11.78,95.7
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-01-03,30.13,55.82,28.24,42.66,6.88,88.8
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-01-03,5.82,15.1,17.78,47.92,1.16,24.3
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-01-03,5.0,12.14,13.96,43.18,1.0,20.9
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-01-04,107.96,207.44,53.98,34.49,12.49,205.2
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-01-04,126.09,218.38,72.79,44.68,29.12,224.2
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-01-04,34.07,60.85,37.18,40.47,5.51,97.2
Seoul,KR,Asia,37.5665,126.978,9.8,2023-01-04,82.46,143.19,60.73,51.14,17.79,178.4
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-01-04,83.0,160.24,55.15,37.65,12.7,179.0
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-01-04,107.07,193.1,75.63,42.82,26.61,204.3
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-01-04,96.75,174.38,67.23,57.58,18.05,193.4
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-01-04,69.09,129.63,52.74,45.33,12.52,164.4
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-01-04,58.75,104.38,58.63,47.98,13.05,153.5
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-01-04,42.87,76.01,46.14,49.28,9.35,118.7
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-01-04,124.51,242.01,65.5,43.3,17.1,222.6
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-01-04,5.0,85.17,21.46,43.23,4.42,20.9
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-01-04,40.26,157.89,33.13,50.58,8.05,112.2
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-01-04,51.49,93.48,35.49,35.1,11.6,140.2
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-01-04,141.04,250.57,57.52,35.51,20.41,239.9
London,GB,Europe,51.5074,-0.1278,9.0,2023-01-04,39.13,67.8,50.77,48.16,8.61,109.3
Paris,FR,Europe,48.8566,2.3522,2.2,2023-01-04,21.33,42.39,39.26,40.6,4.27,70.0
Berlin,DE,Europe,52.52,13.405,3.6,2023-01-04,33.64,60.87,41.52,43.07,5.95,96.3
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-01-04,27.19,52.48,42.19,50.8,4.4,82.5
Rome,IT,Europe,41.9028,12.4964,2.8,2023-01-04,21.16,43.44,40.48,46.21,3.97,69.6
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-01-04,22.09,53.29,37.7,34.98,4.42,71.6
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-01-04,18.26,37.13,37.08,41.85,3.13,63.4
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-01-04,35.31,69.87,42.36,42.89,7.06,99.9
New York,US,North America,40.7128,-74.006,8.3,2023-01-04,25.2,48.2,33.4,44.64,5.56,78.3
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-01-04,52.67,95.25,45.18,67.15,7.93,143.2
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-01-04,57.35,108.78,47.53,50.76,15.37,152.1
Chicago,US,North America,41.8781,-87.6298,2.7,2023-01-04,49.76,87.64,46.98,53.23,11.25,135.9
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-01-04,22.29,43.83,34.54,44.89,4.46,72.0
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-01-04,44.87,77.93,35.61,46.99,8.12,123.7
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-01-04,15.99,34.61,22.02,45.87,2.35,58.5
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-01-04,18.66,39.04,23.78,43.91,3.22,64.2
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-01-04,29.24,52.36,28.22,56.63,5.34,86.9
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-01-04,33.39,65.39,43.05,44.88,7.02,95.8
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-01-04,10.1,25.35,22.9,35.42,2.53,42.1
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-01-04,68.3,134.33,32.03,46.27,12.81,163.5
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-01-04,58.44,106.78,35.59,48.96,9.14,153.2
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-01-04,35.57,70.36,33.94,47.02,12.21,100.4
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-01-04,29.79,55.32,28.07,42.56,6.81,88.1
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-01-04,17.39,32.46,23.57,51.39,3.48,61.5
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-01-04,15.14,28.66,19.47,46.48,2.69,56.7
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-01-05,151.09,272.14,75.55,47.43,21.12,200.7
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-01-05,156.32,263.73,87.91,53.75,35.16,206.2
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-01-05,55.07,92.36,47.69,46.77,9.71,149.2
Seoul,KR,Asia,37.5665,126.978,9.8,2023-01-05,55.25,102.37,47.12,42.97,12.35,149.6
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-01-05,117.33,211.75,72.32,47.95,19.57,215.0
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-01-05,72.25,140.87,58.22,32.37,19.65,167.7
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-01-05,72.44,137.92,55.07,50.28,13.19,167.9
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-01-05,90.15,161.23,63.28,51.65,16.73,186.5
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-01-05,42.08,79.36,50.29,42.97,9.72,116.7
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-01-05,5.0,10.0,23.67,35.8,1.0,20.9
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-01-05,118.87,233.55,62.68,41.61,15.97,216.6
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-01-05,109.64,245.71,74.97,75.34,25.83,206.9
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-01-05,111.69,265.03,68.84,72.01,22.34,209.1
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-01-05,69.02,119.79,44.26,40.36,15.1,164.3
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-01-05,197.98,335.96,85.99,52.59,31.8,250.0
London,GB,Europe,51.5074,-0.1278,9.0,2023-01-05,21.41,41.21,41.9,42.84,5.06,70.1
Paris,FR,Europe,48.8566,2.3522,2.2,2023-01-05,28.79,53.58,42.99,42.84,5.76,85.9
Berlin,DE,Europe,52.52,13.405,3.6,2023-01-05,26.39,49.99,37.9,40.9,4.5,80.8
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-01-05,32.19,59.98,44.69,52.3,5.4,93.2
Rome,IT,Europe,41.9028,12.4964,2.8,2023-01-05,15.39,34.79,37.6,44.48,2.82,57.3
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-01-05,70.39,125.74,61.85,49.47,14.08,165.7
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-01-05,25.96,48.69,40.93,44.16,4.67,79.9
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-01-05,20.39,47.49,34.9,38.42,4.08,68.0
New York,US,North America,40.7128,-74.006,8.3,2023-01-05,19.48,39.63,30.54,42.93,4.42,66.0
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-01-05,43.45,81.43,40.58,64.39,6.09,120.1
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-01-05,108.1,184.9,72.9,65.98,25.52,205.3
Chicago,US,North America,41.8781,-87.6298,2.7,2023-01-05,57.15,98.73,50.68,55.45,12.73,151.8
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-01-05,26.54,50.21,36.67,46.16,5.31,81.1
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-01-05,12.12,28.8,19.23,37.16,1.57,50.2
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-01-05,59.03,99.17,43.54,58.78,10.96,153.8
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-01-05,23.91,46.92,26.41,45.48,4.27,75.5
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-01-05,41.57,70.85,34.38,60.33,7.8,115.4
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-01-05,59.48,104.52,56.09,52.7,12.24,154.3
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-01-05,11.16,26.94,23.43,35.74,2.74,46.5
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-01-05,80.46,152.56,38.1,49.91,15.24,176.3
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-01-05,77.38,135.19,45.06,54.64,12.93,173.1
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-01-05,23.29,51.94,27.8,43.34,9.76,74.2
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-01-05,5.0,10.0,11.46,32.6,1.0,20.9
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-01-05,16.23,30.72,22.99,51.04,3.25,59.0
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-01-05,18.11,33.12,20.96,47.37,3.28,63.1
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-01-06,76.43,160.14,38.21,25.03,6.19,172.1
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-01-06,58.78,117.42,39.14,24.48,15.66,153.5
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-01-06,42.68,73.77,41.49,43.05,7.24,118.2
Seoul,KR,Asia,37.5665,126.978,9.8,2023-01-06,34.94,71.91,36.97,36.88,8.29,99.1
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-01-06,73.77,146.4,50.53,34.88,10.85,169.3
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-01-06,118.72,210.58,81.46,46.32,28.94,216.5
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-01-06,86.51,159.02,62.11,54.5,16.0,182.7
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-01-06,86.61,155.91,61.5,50.58,16.02,182.8
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-01-06,49.53,90.55,54.02,45.21,11.21,135.3
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-01-06,32.19,59.98,40.79,46.08,7.22,93.2
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-01-06,138.96,263.69,72.73,47.64,19.99,237.7
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-01-06,57.2,167.05,48.75,59.61,15.34,151.9
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-01-06,37.72,154.08,31.86,49.82,7.54,105.8
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-01-06,115.2,189.05,67.35,54.21,24.34,212.8
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-01-06,143.96,254.95,58.98,36.39,20.99,243.0
London,GB,Europe,51.5074,-0.1278,9.0,2023-01-06,5.0,15.52,33.34,37.7,1.64,20.9
Paris,FR,Europe,48.8566,2.3522,2.2,2023-01-06,47.15,81.13,52.18,48.35,9.43,129.4
Berlin,DE,Europe,52.52,13.405,3.6,2023-01-06,20.26,40.8,34.83,39.06,3.27,67.7
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-01-06,47.58,83.08,52.39,56.92,8.48,130.5
Rome,IT,Europe,41.9028,12.4964,2.8,2023-01-06,56.79,96.88,58.29,56.9,11.1,151.5
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-01-06,67.27,121.06,60.29,48.53,13.45,162.5
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-01-06,30.58,55.62,43.24,45.54,5.6,89.8
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-01-06,5.0,18.13,25.11,32.55,1.0,20.9
New York,US,North America,40.7128,-74.006,8.3,2023-01-06,5.26,18.29,23.43,38.66,1.57,21.9
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-01-06,23.64,51.71,30.67,58.44,2.13,74.9
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-01-06,89.88,157.57,63.79,60.51,21.88,186.2
Chicago,US,North America,41.8781,-87.6298,2.7,2023-01-06,60.38,103.56,52.29,56.41,13.38,155.2
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-01-06,36.78,65.57,41.79,49.23,7.36,103.5
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-01-06,58.71,98.7,42.53,51.14,10.89,153.5
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-01-06,29.89,55.46,28.97,50.04,5.13,88.3
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-01-06,22.14,44.26,25.52,44.95,3.92,71.7
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-01-06,5.0,13.91,15.4,48.94,1.0,20.9
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-01-06,34.6,67.2,43.65,45.24,7.26,98.4
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-01-06,29.44,54.37,32.57,41.22,6.4,87.3
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-01-06,93.79,172.56,44.77,53.91,17.91,190.3
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-01-06,67.22,119.95,39.98,51.59,10.89,162.4
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-01-06,38.47,74.71,35.39,47.89,12.79,107.7
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-01-06,30.65,56.6,28.5,42.82,6.98,89.9
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-01-06,12.17,24.63,20.96,49.83,2.43,50.4
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-01-06,14.81,28.17,19.31,46.38,2.62,56.0
