city,country,continent,latitude,longitude,date,pm25,pm10,no2,o3,so2,aqi
Nairobi,KE,Africa,-1.2921,36.8219,2023-01-01,19.73,40.22,23.04,39.54,4.8,66.5
Sydney,AU,Oceania,-33.8688,151.2093,2023-01-01,7.5,17.63,18.63,48.43,1.5,31.3
Melbourne,AU,Oceania,-37.8136,144.9631,2023-01-01,5.0,12.95,14.23,43.34,1.0,20.9
Delhi,IN,Asia,28.7041,77.1025,2023-01-02,174.07,306.6,87.03,54.32,25.71,224.9
Beijing,CN,Asia,39.9042,116.4074,2023-01-02,153.77,259.9,86.63,52.98,34.65,203.5
Tokyo,JP,Asia,35.6762,139.6503,2023-01-02,31.64,57.2,35.97,39.74,5.03,92.0
Seoul,KR,Asia,37.5665,126.978,2023-01-02,63.54,114.8,51.27,45.46,14.01,158.5
Mumbai,IN,Asia,19.076,72.8777,2023-01-02,77.96,152.69,52.63,36.14,11.69,173.7
Shanghai,CN,Asia,31.2304,121.4737,2023-01-02,106.87,192.8,75.53,42.76,26.57,204.0
Bangkok,TH,Asia,13.7563,100.5018,2023-01-02,67.0,129.76,52.35,48.65,12.1,162.2
Jakarta,ID,Asia,-6.2088,106.8456,2023-01-02,112.17,194.25,74.28,58.25,21.13,209.6
Hong Kong,HK,Asia,22.3193,114.1694,2023-01-02,67.02,116.78,62.76,50.46,14.7,162.2
Singapore,SG,Asia,1.3521,103.8198,2023-01-02,16.29,36.13,32.84,41.31,4.04,59.2
Kolkata,IN,Asia,22.5726,88.3639,2023-01-02,155.38,288.33,80.94,52.57,23.28,205.2
Dubai,AE,Asia,25.2048,55.2708,2023-01-02,28.76,124.39,34.53,51.08,9.65,85.9
Riyadh,SA,Asia,24.7136,46.6753,2023-01-02,58.0,184.51,42.0,55.9,11.6,152.7
Hanoi,VN,Asia,21.0285,105.8542,2023-01-02,69.58,120.62,44.54,40.52,15.22,164.9
Lahore,PK,Asia,31.5204,74.3587,2023-01-02,63.75,134.63,18.88,12.33,4.95,158.8
London,GB,Europe,51.5074,-0.1278,2023-01-02,16.72,34.19,39.56,41.44,4.12,60.1
Paris,FR,Europe,48.8566,2.3522,2023-01-02,23.62,45.82,40.41,41.28,4.72,74.9
Berlin,DE,Europe,52.52,13.405,2023-01-02,18.9,38.75,34.15,38.65,3.0,64.8
Madrid,ES,Europe,40.4168,-3.7038,2023-01-02,35.32,64.67,46.26,53.23,6.02,99.9
Rome,IT,Europe,41.9028,12.4964,2023-01-02,27.93,53.6,43.87,48.24,5.33,84.1
Moscow,RU,Europe,55.7558,37.6173,2023-01-02,45.19,87.94,49.25,41.91,9.04,124.5
Amsterdam,NL,Europe,52.3676,4.9041,2023-01-02,17.67,36.26,36.79,41.67,3.01,62.1
Warsaw,PL,Europe,52.2297,21.0122,2023-01-02,52.59,95.79,51.0,48.08,10.52,143.0
New York,US,North America,40.7128,-74.006,2023-01-02,47.43,81.55,44.52,51.31,10.01,130.1
Los Angeles,US,North America,34.0522,-118.2437,2023-01-02,14.21,37.57,25.96,55.61,1.0,54.7
Mexico City,MX,North America,19.4326,-99.1332,2023-01-02,47.68,94.28,42.69,47.86,13.44,130.7
Chicago,US,North America,41.8781,-87.6298,2023-01-02,41.5,75.25,42.85,50.75,9.6,115.2
Toronto,CA,North America,43.6532,-79.3832,2023-01-02,23.37,45.46,35.09,45.21,4.67,74.3
São Paulo,BR,South America,-23.5505,-46.6333,2023-01-02,59.21,99.44,42.78,51.29,10.99,154.0
Rio de Janeiro,BR,South America,-22.9068,-43.1729,2023-01-02,45.69,79.16,36.87,54.78,8.29,125.7
Buenos Aires,AR,South America,-34.6037,-58.3816,2023-01-02,12.0,29.05,20.45,41.91,1.89,50.0
Fortaleza,BR,South America,-3.7172,-38.5433,2023-01-02,17.49,34.74,22.35,53.11,2.99,61.8
Santiago,CL,South America,-33.4489,-70.6693,2023-01-02,33.5,65.56,43.1,44.91,7.04,96.0
Bogotá,CO,South America,4.711,-74.0721,2023-01-02,5.0,10.0,12.54,29.2,1.0,20.9
Cairo,EG,Africa,30.0444,31.2357,2023-01-02,82.2,155.18,38.98,50.44,15.59,178.1
Lagos,NG,Africa,6.5244,3.3792,2023-01-02,69.21,122.94,40.98,52.19,11.29,164.5
Johannesburg,ZA,Africa,-26.2041,28.0473,2023-01-02,28.92,60.38,30.61,45.03,10.88,86.2
Nairobi,KE,Africa,-1.2921,36.8219,2023-01-02,19.41,39.74,22.88,39.45,4.73,65.9
Sydney,AU,Oceania,-33.8688,151.2093,2023-01-02,5.0,10.0,12.93,45.01,1.0,20.9
Melbourne,AU,Oceania,-37.8136,144.9631,2023-01-02,17.54,32.26,20.67,47.2,3.17,61.9
Delhi,IN,Asia,28.7041,77.1025,2023-01-03,187.23,326.35,93.62,58.27,28.35,238.7
Beijing,CN,Asia,39.9042,116.4074,2023-01-03,114.89,201.58,67.19,41.32,26.88,212.5
Tokyo,JP,Asia,35.6762,139.6503,2023-01-03,52.19,88.03,46.24,45.91,9.14,142.0
Seoul,KR,Asia,37.5665,126.978,2023-01-03,65.91,118.36,52.45,46.17,14.48,161.0
Mumbai,IN,Asia,19.076,72.8777,2023-01-03,145.7,254.3,86.5,56.46,25.24,244.8
Shanghai,CN,Asia,31.2304,121.4737,2023-01-03,97.94,179.41,71.07,40.08,24.79,194.7
Bangkok,TH,Asia,13.7563,100.5018,2023-01-03,81.98,152.21,59.84,53.14,15.1,177.9
Jakarta,ID,Asia,-6.2088,106.8456,2023-01-03,140.68,237.02,88.54,66.8,26.84,239.5
Hong Kong,HK,Asia,22.3193,114.1694,2023-01-03,22.89,50.59,40.7,37.22,5.88,73.3
Singapore,SG,Asia,1.3521,103.8198,2023-01-03,52.85,90.97,51.12,52.27,11.35,143.6
Kolkata,IN,Asia,22.5726,88.3639,2023-01-03,112.11,223.41,59.3,39.58,14.62,209.5
Dubai,AE,Asia,25.2048,55.2708,2023-01-03,64.13,177.44,52.21,61.69,16.73,159.2
Riyadh,SA,Asia,24.7136,46.6753,2023-01-03,37.99,154.49,32.0,49.9,7.6,106.5
Hanoi,VN,Asia,21.0285,105.8542,2023-01-03,95.65,159.73,57.58,48.35,20.43,192.3
Lahore,PK,Asia,31.5204,74.3587,2023-01-03,119.54,218.31,46.77,29.06,16.11,217.3
London,GB,Europe,51.5074,-0.1278,2023-01-03,34.6,61.0,48.5,46.8,7.7,98.4
Paris,FR,Europe,48.8566,2.3522,2023-01-03,29.08,54.02,43.14,42.92,5.82,86.6
Berlin,DE,Europe,52.52,13.405,2023-01-03,24.01,46.41,36.7,40.18,4.02,75.7
Madrid,ES,Europe,40.4168,-3.7038,2023-01-03,14.47,33.41,35.84,46.98,1.85,55.3
Rome,IT,Europe,41.9028,12.4964,2023-01-03,38.66,69.69,49.23,51.46,7.47,108.1
Moscow,RU,Europe,55.7558,37.6173,2023-01-03,53.16,99.89,53.23,44.3,10.63,144.4
Amsterdam,NL,Europe,52.3676,4.9041,2023-01-03,12.88,29.08,34.39,40.24,2.06,51.9
Warsaw,PL,Europe,52.2297,21.0122,2023-01-03,47.04,87.46,48.22,46.41,9.41,129.1
New York,US,North America,40.7128,-74.006,2023-01-03,43.49,75.63,42.54,50.13,9.22,120.2
Los Angeles,US,North America,34.0522,-118.2437,2023-01-03,47.75,87.87,42.72,65.67,6.95,130.9
Mexico City,MX,North America,19.4326,-99.1332,2023-01-03,55.73,106.34,46.71,50.27,15.05,150.3
Chicago,US,North America,41.8781,-87.6298,2023-01-03,21.52,45.27,32.86,44.75,5.6,70.4
Toronto,CA,North America,43.6532,-79.3832,2023-01-03,16.62,35.34,31.71,43.19,3.32,59.9
São Paulo,BR,South America,-23.5505,-46.6333,2023-01-03,7.55,21.95,16.95,35.79,1.0,31.5
Rio de Janeiro,BR,South America,-22.9068,-43.1729,2023-01-03,9.44,24.78,18.74,43.91,1.04,39.3
Buenos Aires,AR,South America,-34.6037,-58.3816,2023-01-03,32.84,60.31,30.87,48.16,6.06,94.6
Fortaleza,BR,South America,-3.7172,-38.5433,2023-01-03,5.0,11.44,14.58,48.45,1.0,20.9
Santiago,CL,South America,-33.4489,-70.6693,2023-01-03,25.44,53.46,39.07,42.49,5.43,78.8
Bogotá,CO,South America,4.711,-74.0721,2023-01-03,34.23,61.55,34.97,42.66,7.36,97.6
Cairo,EG,Africa,30.0444,31.2357,2023-01-03,70.97,138.33,33.36,47.07,13.34,166.3
Lagos,NG,Africa,6.5244,3.3792,2023-01-03,79.97,139.08,46.36,55.42,13.44,175.8
Johannesburg,ZA,Africa,-26.2041,28.0473,2023-01-03,5.0,13.41,14.95,35.63,4.62,20.9
Nairobi,KE,Africa,-1.2921,36.8219,2023-01-03,39.65,70.1,33.0,45.52,8.78,110.6
Sydney,AU,Oceania,-33.8688,151.2093,2023-01-03,17.86,33.17,23.81,51.53,3.57,62.5
Melbourne,AU,Oceania,-37.8136,144.9631,2023-01-03,10.0,20.95,16.9,44.94,1.66,41.7
Delhi,IN,Asia,28.7041,77.1025,2023-01-04,150.1,270.65,75.05,47.13,20.92,249.4
Beijing,CN,Asia,39.9042,116.4074,2023-01-04,126.93,219.64,73.21,44.93,29.29,225.1
Tokyo,JP,Asia,35.6762,139.6503,2023-01-04,28.43,52.39,34.36,38.78,4.39,85.2
Seoul,KR,Asia,37.5665,126.978,2023-01-04,34.15,70.73,36.58,36.65,8.13,97.4
Mumbai,IN,Asia,19.076,72.8777,2023-01-04,115.72,209.32,71.51,47.46,19.24,213.3
Shanghai,CN,Asia,31.2304,121.4737,2023-01-04,109.87,197.31,77.04,43.66,27.17,207.2
Bangkok,TH,Asia,13.7563,100.5018,2023-01-04,92.16,167.49,64.93,56.2,17.13,188.6
Jakarta,ID,Asia,-6.2088,106.8456,2023-01-04,106.33,185.5,71.37,56.5,19.97,203.5
Hong Kong,HK,Asia,22.3193,114.1694,2023-01-04,43.47,81.46,50.99,43.39,9.99,120.2
Singapore,SG,Asia,1.3521,103.8198,2023-01-04,32.21,60.02,40.81,46.08,7.22,93.3
Kolkata,IN,Asia,22.5726,88.3639,2023-01-04,115.57,228.6,61.03,40.62,15.31,213.2
Dubai,AE,Asia,25.2048,55.2708,2023-01-04,91.47,218.45,65.88,69.89,22.19,187.9
Riyadh,SA,Asia,24.7136,46.6753,2023-01-04,125.53,285.79,75.76,76.16,25.11,223.6
Hanoi,VN,Asia,21.0285,105.8542,2023-01-04,87.16,146.99,53.33,45.8,18.73,183.3
Lahore,PK,Asia,31.5204,74.3587,2023-01-04,159.69,278.53,66.84,41.11,24.14,209.7
London,GB,Europe,51.5074,-0.1278,2023-01-04,28.0,51.11,45.2,44.82,6.38,84.2
Paris,FR,Europe,48.8566,2.3522,2023-01-04,27.91,52.26,42.55,42.57,5.58,84.0
Berlin,DE,Europe,52.52,13.405,2023-01-04,29.61,54.82,39.51,41.86,5.14,87.7
Madrid,ES,Europe,40.4168,-3.7038,2023-01-04,57.97,98.65,57.58,60.03,10.55,152.7
Rome,IT,Europe,41.9028,12.4964,2023-01-04,46.75,81.82,53.27,53.88,9.09,128.4
Moscow,RU,Europe,55.7558,37.6173,2023-01-04,28.43,62.8,40.87,36.88,5.69,85.2
Amsterdam,NL,Europe,52.3676,4.9041,2023-01-04,8.52,22.53,32.21,38.93,1.18,35.5
Warsaw,PL,Europe,52.2297,21.0122,2023-01-04,43.66,82.39,46.53,45.4,8.73,120.7
New York,US,North America,40.7128,-74.006,2023-01-04,44.26,76.79,42.93,50.36,9.37,122.2
Los Angeles,US,North America,34.0522,-118.2437,2023-01-04,35.45,69.43,36.58,61.99,4.49,100.1
Mexico City,MX,North America,19.4326,-99.1332,2023-01-04,88.65,155.73,63.18,60.15,21.63,184.9
Chicago,US,North America,41.8781,-87.6298,2023-01-04,23.73,48.59,33.96,45.42,6.05,75.1
Toronto,CA,North America,43.6532,-79.3832,2023-01-04,23.2,45.2,35.0,45.16,4.64,74.0
São Paulo,BR,South America,-23.5505,-46.6333,2023-01-04,28.63,53.57,27.49,42.11,4.88,85.6
Rio de Janeiro,BR,South America,-22.9068,-43.1729,2023-01-04,29.39,54.71,28.72,49.89,5.03,87.2
Buenos Aires,AR,South America,-34.6037,-58.3816,2023-01-04,60.77,102.2,44.83,56.54,11.64,155.6
Fortaleza,BR,South America,-3.7172,-38.5433,2023-01-04,56.51,93.26,41.85,64.81,10.79,151.2
Santiago,CL,South America,-33.4489,-70.6693,2023-01-04,5.0,17.09,26.95,35.22,1.0,20.9
Bogotá,CO,South America,4.711,-74.0721,2023-01-04,7.29,21.13,21.49,34.58,1.97,30.4
Cairo,EG,Africa,30.0444,31.2357,2023-01-04,100.37,182.42,48.06,55.88,19.22,197.2
Lagos,NG,Africa,6.5244,3.3792,2023-01-04,34.04,70.18,23.39,41.64,4.26,97.2
Johannesburg,ZA,Africa,-26.2041,28.0473,2023-01-04,34.45,68.67,33.37,46.68,11.99,98.0
Nairobi,KE,Africa,-1.2921,36.8219,2023-01-04,22.61,44.54,24.48,40.41,5.37,72.7
Sydney,AU,Oceania,-33.8688,151.2093,2023-01-04,13.67,26.87,21.71,50.27,2.73,53.6
Melbourne,AU,Oceania,-37.8136,144.9631,2023-01-04,14.32,27.42,19.06,46.23,2.52,55.0
Delhi,IN,Asia,28.7041,77.1025,2023-01-05,150.13,270.69,75.06,47.14,20.93,249.5
Beijing,CN,Asia,39.9042,116.4074,2023-01-05,145.1,246.89,82.3,50.38,32.92,244.2
Tokyo,JP,Asia,35.6762,139.6503,2023-01-05,25.71,48.31,33.0,37.96,3.84,79.3
Seoul,KR,Asia,37.5665,126.978,2023-01-05,60.46,110.19,49.73,44.54,13.39,155.3
Mumbai,IN,Asia,19.076,72.8777,2023-01-05,109.46,199.94,68.38,45.59,17.99,206.8
Shanghai,CN,Asia,31.2304,121.4737,2023-01-05,101.99,185.48,73.09,41.3,25.6,198.9
Bangkok,TH,Asia,13.7563,100.5018,2023-01-05,70.24,134.6,53.97,49.62,12.75,165.6
Jakarta,ID,Asia,-6.2088,106.8456,2023-01-05,89.62,160.43,63.01,51.49,16.62,185.9
Hong Kong,HK,Asia,22.3193,114.1694,2023-01-05,31.15,62.98,44.83,39.7,7.53,91.0
Singapore,SG,Asia,1.3521,103.8198,2023-01-05,42.65,75.67,46.02,49.21,9.31,118.1
Kolkata,IN,Asia,22.5726,88.3639,2023-01-05,72.28,163.67,39.39,27.63,6.66,167.7
Dubai,AE,Asia,25.2048,55.2708,2023-01-05,72.48,189.96,56.39,64.19,18.4,167.9
Riyadh,SA,Asia,24.7136,46.6753,2023-01-05,42.99,161.99,34.5,51.4,8.6,119.0
Hanoi,VN,Asia,21.0285,105.8542,2023-01-05,48.61,89.17,34.06,34.23,11.02,133.0
Lahore,PK,Asia,31.5204,74.3587,2023-01-05,133.27,238.9,53.63,33.18,18.85,231.8
London,GB,Europe,51.5074,-0.1278,2023-01-05,34.4,60.7,48.4,46.74,7.66,97.9
Paris,FR,Europe,48.8566,2.3522,2023-01-05,22.23,43.74,39.71,40.87,4.45,71.9
Berlin,DE,Europe,52.52,13.405,2023-01-05,31.9,58.25,40.65,42.55,5.6,92.6
Madrid,ES,Europe,40.4168,-3.7038,2023-01-05,5.0,12.02,28.71,42.7,1.0,20.9
Rome,IT,Europe,41.9028,12.4964,2023-01-05,44.52,78.48,52.16,53.22,8.64,122.8
Moscow,RU,Europe,55.7558,37.6173,2023-01-05,43.01,84.66,48.15,41.25,8.6,119.0
Amsterdam,NL,Europe,52.3676,4.9041,2023-01-05,22.13,42.95,39.02,43.01,3.91,71.7
Warsaw,PL,Europe,52.2297,21.0122,2023-01-05,20.73,47.99,35.06,38.52,4.15,68.7
New York,US,North America,40.7128,-74.006,2023-01-05,49.83,85.14,45.71,52.03,10.49,136.1
Los Angeles,US,North America,34.0522,-118.2437,2023-01-05,37.28,72.17,37.49,62.53,4.86,104.7
Mexico City,MX,North America,19.4326,-99.1332,2023-01-05,101.44,174.91,69.57,63.98,24.19,198.3
Chicago,US,North America,41.8781,-87.6298,2023-01-05,35.7,66.55,39.95,49.01,8.44,100.8
Toronto,CA,North America,43.6532,-79.3832,2023-01-05,37.93,67.3,42.37,49.58,7.59,106.3
São Paulo,BR,South America,-23.5505,-46.6333,2023-01-05,20.1,40.78,23.23,39.56,3.17,67.3
Rio de Janeiro,BR,South America,-22.9068,-43.1729,2023-01-05,8.62,23.55,18.33,43.66,1.0,35.9
Buenos Aires,AR,South America,-34.6037,-58.3816,2023-01-05,31.86,58.84,30.38,47.87,5.86,92.5
Fortaleza,BR,South America,-3.7172,-38.5433,2023-01-05,16.6,33.4,21.9,52.84,2.81,59.8
Santiago,CL,South America,-33.4489,-70.6693,2023-01-05,13.89,36.13,33.29,39.03,3.12,54.0
Bogotá,CO,South America,4.711,-74.0721,2023-01-05,22.48,43.92,29.09,39.13,5.01,72.4
Cairo,EG,Africa,30.0444,31.2357,2023-01-05,66.52,131.66,31.14,45.73,12.45,161.7
Lagos,NG,Africa,6.5244,3.3792,2023-01-05,68.69,122.15,40.72,52.03,11.19,164.0
Johannesburg,ZA,Africa,-26.2041,28.0473,2023-01-05,13.52,37.27,22.91,40.4,7.8,53.2
Nairobi,KE,Africa,-1.2921,36.8219,2023-01-05,8.06,22.71,17.2,36.04,2.46,33.6
Sydney,AU,Oceania,-33.8688,151.2093,2023-01-05,11.69,23.9,20.72,49.68,2.34,48.7
Melbourne,AU,Oceania,-37.8136,144.9631,2023-01-05,16.93,31.34,20.36,47.02,3.05,60.5
Delhi,IN,Asia,28.7041,77.1025,2023-01-06,77.03,161.04,38.51,25.21,6.31,172.7
Beijing,CN,Asia,39.9042,116.4074,2023-01-06,150.42,254.88,84.96,51.98,33.98,200.0
Tokyo,JP,Asia,35.6762,139.6503,2023-01-06,36.71,64.81,38.5,41.26,6.04,103.3
Seoul,KR,Asia,37.5665,126.978,2023-01-06,75.2,132.3,57.1,48.96,16.34,170.8
Mumbai,IN,Asia,19.076,72.8777,2023-01-06,116.49,210.48,71.89,47.7,19.4,214.1
Shanghai,CN,Asia,31.2304,121.4737,2023-01-06,86.1,161.65,65.15,36.53,22.42,182.2
Bangkok,TH,Asia,13.7563,100.5018,2023-01-06,62.79,123.44,50.25,47.39,11.26,157.8
Jakarta,ID,Asia,-6.2088,106.8456,2023-01-06,78.52,143.78,57.46,48.16,14.4,174.3
Hong Kong,HK,Asia,22.3193,114.1694,2023-01-06,65.1,113.9,61.8,49.88,14.32,160.2
Singapore,SG,Asia,1.3521,103.8198,2023-01-06,21.28,43.62,35.34,42.8,5.04,69.9
Kolkata,IN,Asia,22.5726,88.3639,2023-01-06,90.43,190.9,48.47,33.08,10.29,186.8
Dubai,AE,Asia,25.2048,55.2708,2023-01-06,74.14,192.46,57.22,64.69,18.73,169.7
Riyadh,SA,Asia,24.7136,46.6753,2023-01-06,5.0,100.38,13.96,39.08,1.0,20.9
Hanoi,VN,Asia,21.0285,105.8542,2023-01-06,85.82,144.98,52.66,45.4,18.46,181.9
Lahore,PK,Asia,31.5204,74.3587,2023-01-06,188.61,321.91,81.3,49.78,29.92,240.1
London,GB,Europe,51.5074,-0.1278,2023-01-06,43.11,73.76,52.75,49.35,9.4,119.3
Paris,FR,Europe,48.8566,2.3522,2023-01-06,34.04,61.46,45.62,44.41,6.81,97.2
Berlin,DE,Europe,52.52,13.405,2023-01-06,27.66,51.88,38.53,41.28,4.75,83.5
Madrid,ES,Europe,40.4168,-3.7038,2023-01-06,77.31,127.67,67.26,65.83,14.42,173.0
Rome,IT,Europe,41.9028,12.4964,2023-01-06,31.37,58.76,45.59,49.27,6.01,91.5
Moscow,RU,Europe,55.7558,37.6173,2023-01-06,48.86,93.44,51.08,43.01,9.77,133.7
Amsterdam,NL,Europe,52.3676,4.9041,2023-01-06,21.57,42.1,38.73,42.84,3.79,70.5
Warsaw,PL,Europe,52.2297,21.0122,2023-01-06,47.36,87.93,48.38,46.51,9.47,129.9
New York,US,North America,40.7128,-74.006,2023-01-06,43.46,75.59,42.53,50.12,9.21,120.2
Los Angeles,US,North America,34.0522,-118.2437,2023-01-06,47.62,87.69,42.66,65.64,6.92,130.6
Mexico City,MX,North America,19.4326,-99.1332,2023-01-06,86.65,152.73,62.18,59.55,21.23,182.8
Chicago,US,North America,41.8781,-87.6298,2023-01-06,47.45,84.17,45.82,52.53,10.79,130.1
Toronto,CA,North America,43.6532,-79.3832,2023-01-06,5.0,10.33,23.38,38.19,1.0,20.9
São Paulo,BR,South America,-23.5505,-46.6333,2023-01-06,5.0,11.64,13.51,33.73,1.0,20.9
Rio de Janeiro,BR,South America,-22.9068,-43.1729,2023-01-06,48.81,83.85,38.43,55.72,8.91,133.5
Buenos Aires,AR,South America,-34.6037,-58.3816,2023-01-06,27.61,52.47,28.26,46.59,5.01,83.4
Fortaleza,BR,South America,-3.7172,-38.5433,2023-01-06,5.0,16.0,16.1,49.36,1.0,20.9
Santiago,CL,South America,-33.4489,-70.6693,2023-01-06,42.85,79.57,47.77,47.71,8.91,118.6
Bogotá,CO,South America,4.711,-74.0721,2023-01-06,7.21,21.02,21.46,34.55,1.95,30.1
Cairo,EG,Africa,30.0444,31.2357,2023-01-06,103.16,186.61,49.45,56.72,19.78,200.1
Lagos,NG,Africa,6.5244,3.3792,2023-01-06,6.27,28.53,9.51,33.31,1.0,26.1
Johannesburg,ZA,Africa,-26.2041,28.0473,2023-01-06,40.73,78.1,36.52,48.57,13.25,113.3
Nairobi,KE,Africa,-1.2921,36.8219,2023-01-06,31.37,57.68,28.86,43.04,7.12,91.5
Sydney,AU,Oceania,-33.8688,151.2093,2023-01-06,10.13,21.58,19.94,49.22,2.03,42.3
Melbourne,AU,Oceania,-37.8136,144.9631,2023-01-06,9.82,20.67,16.81,44.88,1.62,40.9
Delhi,IN,Asia,28.7041,77.1025,2023-01-07,122.3,228.95,61.15,38.79,15.36,220.2
Beijing,CN,Asia,39.9042,116.4074,2023-01-07,102.72,183.34,61.11,37.67,24.44,199.7
Tokyo,JP,Asia,35.6762,139.6503,2023-01-07,47.15,80.48,43.73,44.4,8.13,129.4
Seoul,KR,Asia,37.5665,126.978,2023-01-07,66.96,119.94,52.98,46.49,14.69,162.1
Mumbai,IN,Asia,19.076,72.8777,2023-01-07,129.49,229.98,78.39,51.6,22.0,227.8
Shanghai,CN,Asia,31.2304,121.4737,2023-01-07,64.04,128.56,54.12,29.91,18.01,159.1
Bangkok,TH,Asia,13.7563,100.5018,2023-01-07,84.07,155.35,60.88,53.77,15.51,180.1
Jakarta,ID,Asia,-6.2088,106.8456,2023-01-07,110.3,191.45,73.35,57.69,20.76,207.6
Hong Kong,HK,Asia,22.3193,114.1694,2023-01-07,58.25,103.62,58.37,47.82,12.95,153.0
Singapore,SG,Asia,1.3521,103.8198,2023-01-07,27.54,53.01,38.47,44.68,6.29,83.3
Kolkata,IN,Asia,22.5726,88.3639,2023-01-07,144.49,271.99,75.5,49.3,21.1,243.5
Dubai,AE,Asia,25.2048,55.2708,2023-01-07,102.93,235.64,71.61,73.33,24.49,199.9
Riyadh,SA,Asia,24.7136,46.6753,2023-01-07,98.32,244.98,62.16,68.0,19.66,195.1
Hanoi,VN,Asia,21.0285,105.8542,2023-01-07,89.95,151.17,54.72,46.63,19.29,186.3
Lahore,PK,Asia,31.5204,74.3587,2023-01-07,162.07,282.11,68.04,41.82,24.61,212.3
London,GB,Europe,51.5074,-0.1278,2023-01-07,42.76,73.25,52.58,49.25,9.33,118.4
Paris,FR,Europe,48.8566,2.3522,2023-01-07,26.88,50.73,42.04,42.27,5.38,81.9
Berlin,DE,Europe,52.52,13.405,2023-01-07,31.47,57.6,40.43,42.42,5.51,91.7
Madrid,ES,Europe,40.4168,-3.7038,2023-01-07,47.16,82.44,52.18,56.79,8.39,129.4
